INDFISCAL;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria
25.077.085;29.0.0025.0048; 01/02/2006 ; 02/05/2006 ; 04/12/2006 ;NOSSA SENHORA APARECIDA;1.514;SEMINÁRIO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;2;1;0;260.772;HABITAÇÃO UNIFAMILIAR;******;REFORMA E AMPLIAÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";24.010,00;8.540,91;0;0,00;452,86;126,00;0;0;LUIZ EDUARDO CEREIJO HERNANDEZ;PR0000023800D;LEANDRO BIANCHINI;PR0000058674D;;;;
27.025.070;45.1.0036.0910; 01/02/2006 ; 02/05/2006 ;;JOÃO ALVES DE DEUS;76;MOSSUNGUÊ;ZR1 - ZONA RESIDENCIAL 1;Unidade Regional Santa Felicidade;1;;1;260.785;COMÉRCIO E SERVIÇO SETORIAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";5.748,50;3.990,76;0;0,00;3.990,76;0,00;0;2;JAYME JOSE BERNARDO RODRIGUES DOS SANTOS;N;LUIZ CEZAR GRAINERT DIZ;PR0000014963D;;;;
28.256.003;20.1.0136.0226; 01/02/2006 ; 02/05/2006 ; 25/09/2006 ;CLÁVIO MOLINARI;1.407;CAPÃO DA IMBUIA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Cajuru;1;1;0;260.773;HABITAÇÃO UNIFAMILIAR;******;REFORMA E AMPLIAÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";200,00;125,85;0;0,00;88,92;36,93;0;0;HELIO CARLOS BERTELLI;;HELIO CARLOS BERTELLI;;;;;
38.055.054;36.0.0098.0070; 01/02/2006 ; 02/05/2006 ; 23/11/2007 ;BRUNO LOBO;588;BAIRRO ALTO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;7;0;260.760;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.000,00;838,10;0;0,00;838,10;0,00;0;1;MAURO EDSON SWAROFSKY;PR0000028366D;MAURO EDSON SWAROFSKY;PR0000028366D;;;;
38.065.007;36.5.0002.0070; 01/02/2006 ; 02/05/2006 ; 11/06/2007 ;NAPOLEÃO BONAPARTE;746;BAIRRO ALTO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;1;3;0;260.764;HABITAÇÃO UNIFAMILIAR;"******; Edícula / Dependência";CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";495,00;149,66;0;0,00;149,66;0,00;0;0;MAURO EDSON SWAROFSKY;PR0000028366D;MAURO EDSON SWAROFSKY;PR0000028366D;;;;
41.092.009;26.0.0011.0116; 01/02/2006 ; 02/04/2006 ;;PIAUÍ;1.674;GUAÍRA;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;0;1;;260.770;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";500,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
42.065.012;25.0.0072.0282; 01/02/2006 ; 02/04/2006 ; 26/01/2011 ;NUNES MACHADO;2.161;PAROLIN;ZUM - ZONA DE USO MISTO 3;Unidade Regional Portao;0;0;0;260.769;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";682,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
61.123.001;40.0.0004.0012; 01/02/2006 ; 02/04/2006 ; 09/03/2006 ;PRESIDENTE WENCESLAU BRAZ;2.535;LINDÓIA;ECL3 - EIXO CONECTOR LESTE 3;Unidade Regional Pinheirinho;0;1;0;260.768;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";384,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
62.080.008;39.0.0062.0320; 01/02/2006 ; 02/05/2006 ; 03/10/2006 ;BR 116;12.960;FANNY;PÓLO-LV - PÓLO DA LINHA VERDE - 8 - S. SUL-P3;Unidade Regional Pinheirinho;2;0;1;260.771;COMÉRCIO E SERVIÇO SETORIAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";498,00;568,16;0;0,00;568,16;0,00;0;0;CARLOS ALBERTO CORAIOLA FILHO;PR0000070046D;CARLOS ALBERTO CORAIOLA FILHO;PR0000070046D;;;;
63.016.009;27.3.0037.0162; 01/02/2006 ; 02/04/2006 ; 17/02/2006 ;GUAIANAZES;1.258;PORTÃO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Portao;0;1;;260.763;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";457,50;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
