INDFISCAL;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria
13.021.001;12.0.0076.0500; 01/02/2022 ; 02/05/2022 ;;PADRE AGOSTINHO;963;MERCÊS;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO - MERCÊS;Unidade Regional Matriz;6;10;1;382.563;Comércio e Serviço de Bairro;******;REFORMA;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais; STEEL FRAME";630,38;2.254,94;;0,00;0,00;66,08;0;0;PAMELA DE OLIVEIRA FILIPINI;A0711314;PAMELA DE OLIVEIRA FILIPINI;A0711314;VOLTEC CONSTRUCOES E EMPREENDIMENTOS IMOBILIARIOS LTDA;;;
17.046.021;45.0.0006.0072; 01/02/2022 ; 02/05/2022 ;;ESTANISLAU MARKS;179;MOSSUNGUÊ;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO;Unidade Regional Santa Felicidade;2;1;1;382.566;"Comércio e Serviço de Bairro; Habitação Unifamiliar";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais; STEEL FRAME";720,00;518,86;;0,00;518,86;0,00;0;0;JAQUELINE RODRIGUES RIBEIRO;PR0000141863D;JAQUELINE RODRIGUES RIBEIRO;PR0000141863D;;;;
34.037.016;17.0.0017.0312; 01/02/2022 ; 02/05/2022 ;;DEPUTADO CARNEIRO DE CAMPOS;483;HUGO LANGE;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Matriz;2;3;;382.557;Habitação Unifamiliar;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais; STEEL FRAME";480,00;536,40;;0,00;536,40;0,00;0;0;RAFAEL RAMOS KUHN;;RAFAEL RAMOS KUHN;;CONSTRUKUHN CONSTRUCOES LTDA;;;
38.199.018;36.0.0034.0434; 01/02/2022 ; 02/05/2022 ;;PROFESSOR MASAHARU TANIGUCHI;116;BAIRRO ALTO;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 3 - S. NORTE-AIB1;Unidade Regional Boa Vista;2;1;;382.569;Habitação Unifamiliar em Série;Conjunto Habitacional;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais; STEEL FRAME";33.262,71;196,78;32;0,00;196,78;0,00;0;0;ALINE DE OLIVEIRA SILVA;PR00115669;ALINE DE OLIVEIRA SILVA;PR00115669;;;;
58.063.029;36.1.0030.0404; 01/02/2022 ; 02/05/2022 ;;RIO GUAPORÉ;140;BAIRRO ALTO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;1;;7;382.570;Comércio e Serviço de Bairro;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais; STEEL FRAME";492,18;515,61;;0,00;515,61;0,00;0;0;RENATO ROEDER FILHO;;RENATO ROEDER FILHO;PR0000025179D;;;;
71.079.020;50.0.0034.0272; 01/02/2022 ; 02/05/2022 ;;VITÓRIO JOÃO BRUNOR;491;ABRANCHES;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;;382.568;Habitação Unifamiliar;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais; STEEL FRAME";394,30;324,67;;0,00;324,67;0,00;0;0;CLAUDIA NUNES PIRES PEREIRA;A0207578;CLAUDIA NUNES PIRES PEREIRA;A0207578;;;;
71.084.086;32.0.0048.1100; 01/02/2022 ; 02/05/2022 ;;CAPITÃO CARLOS HENRIQUE CASTOR;120;PILARZINHO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;;382.559;Habitação Unifamiliar;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais; STEEL FRAME";17.383,41;402,25;;0,00;402,25;0,00;0;0;LIGIA ROSALINSKI MORAES;A0353930;ROGERIO EDISON NASCIMENTO;PR84380D;ROGERIO EDISON NASCIMENTO ENGENHARIA LTDA;;;
73.059.014;32.1.0038.0190; 01/02/2022 ; 02/05/2022 ;;OSCAR DE ABREU FINKENSIEPER;31;PILARZINHO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;;382.587;Habitação Unifamiliar;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais; STEEL FRAME";360,00;266,77;;0,00;266,77;0,00;0;0;CARLOS ALBERTO SALDANHA;;CARLOS ALBERTO SALDANHA;PR0000018047D;;;;
82.089.009;57.1.0035.0142; 01/02/2022 ; 02/05/2022 ;;GENERAL THEODORICO GONÇALVES GUIMARÃES;500;XAXIM;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;1;2;;382.588;Habitação Unifamiliar;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais; STEEL FRAME";360,00;112,54;;0,00;112,54;0,00;0;0;JAQUELINE RODRIGUES RIBEIRO;PR0000141863D;JAQUELINE RODRIGUES RIBEIRO;PR0000141863D;;;;
82.199.146;65.7.0030.0304; 01/02/2022 ; 02/05/2022 ;;VICTALINO JOSÉ BOLICENHA;56;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;1;1;;382.560;Habitação Unifamiliar em Série;Conjunto Habitacional;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais; STEEL FRAME";19.347,44;65,73;;0,00;65,73;0,00;0;0;LAERCIO JOSE LICHESKI;PR0000012995D;LAERCIO JOSE LICHESKI;PR0000012995D;PROARQ - PROJETOS DE ARQUITETURA E DE EDIFICACOES LTDA - ME;;;
