INDFISCAL;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria
17.021.276;45.2.0043.0278; 01/03/2004 ; 01/06/2004 ;;CURITIBA PONTA GROSSA BR-277;1.437;MOSSUNGUÊ;ZS1 - ZONA DE SERVIÇOS 1;Unidade Regional Santa Felicidade;3;;1;163.169;SERVIÇO VICINAL - 2;CONSULTÓRIO;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";12.612,40;3.839,63;0;0,00;3.839,63;0,00;1;1;RESPONSÁVEL TÉCNICO CREA = SP0000130270D;;ROBERTO BRAZ THA;PR0000026452D;IRTHA ENGENHARIA S/A EM RECUPERACAO JUDICIAL;;;
22.041.002;08.1.0043.0032; 01/03/2004 ; 01/06/2004 ;;ALMIRANTE GONÇALVES;627;REBOUÇAS;ZUM - ZONA DE USO MISTO 3;Unidade Regional Matriz;;1;;93.457;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";399,00;0,00;0;0,00;0,00;0,00;;;;;;;;;;
36.114.054;18.0.0013.0144; 01/03/2004 ; 01/06/2004 ;;LANGE DE MORRETES;605;JARDIM SOCIAL;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Matriz;2;1;;93.459;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";11.149,00;5.387,67;0;0,00;389,32;0,00;;;;;MAURICIO OLIVEIRA DE ALMEIDA SANTOS;;MAURICIO OLIVEIRA DE ALMEIDA SANTOS;;;
48.247.016;22.1.0015.0226; 01/03/2004 ; 01/06/2004 ;;DOUTOR BRAZILIO FERREIRA DA LUZ;101;JARDIM DAS AMÉRICAS;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Cajuru;1;;1;93.455;COMUNITÁRIO 2 - LAZER;SEDE ESPORTIVA;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";9.791,61;4.323,59;0;0,00;1.418,48;0,00;;;MARCOS DE SOUZA BREMER;;NALMIR FONTANA FEDER;PR0000013055D;NALMIR FONTANA FEDER;;;
53.038.056;31.2.0017.0156; 01/03/2004 ; 01/06/2004 ;;JOÃO TSCHANNERL;743;VISTA ALEGRE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;;1;163.168;COMÉRCIO E SERVIÇO SETORIAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";845,00;692,97;0;0,00;692,97;0,00;;1;MARCELO DA MATTA BASTOS;PR0000021676D;MARCELO DA MATTA BASTOS;PR0000021676D;DA MATTA ARQUITETURA LTDA;;;
66.080.028;23.0.0092.0090; 01/03/2004 ; 01/06/2004 ; 05/06/2019 ;SENADOR SALGADO FILHO;2.504;GUABIROTUBA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Cajuru;2;;4;163.170;COMÉRCIO E SERVIÇO SETORIAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";363,00;451,95;0;0,00;451,95;0,00;;1;SAMANTHA BARBARA UHRIGSHARDT SILVA;PR0000033070D;RICARDO LUIZ BUZZI;PR0000033587D;BUZZI ASSOCIADOS S/C LTDA;;;
66.080.028;23.0.0092.0090; 01/03/2004 ; 04/03/2004 ; 05/06/2019 ;SENADOR SALGADO FILHO;2.504;GUABIROTUBA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Cajuru;;;;93.451;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";363,00;0,00;0;0,00;0,00;0,00;;;;;;;;;;
79.097.015;63.3.0052.0218; 01/03/2004 ; 01/06/2004 ;;FRANCISCO MANFRON;270;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;1;;163.167;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";900,00;160,00;0;0,00;160,00;0,00;;;ERNANI GASPAR DE CAMPOS;PR0000024433D;ERNANI GASPAR DE CAMPOS;PR0000024433D;ERNANI GASPAR DE CAMPOS;;;
82.379.038;57.2.0072.0150; 01/03/2004 ; 01/06/2004 ;;WALDEMAR LOUREIRO CAMPOS;4.752;XAXIM;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;2;1;1;93.453;"COMÉRCIO E SERVIÇO VICINAL; HABITAÇÃO UNIFAMILIAR";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";413,10;222,92;0;0,00;222,92;0,00;;;CRISTINA MERKL;PR0000030502D;FERNANDO ARNDT;;FERNANDO ARNDT;;;
83.500.110;73.1.0002.0988; 01/03/2004 ; 01/06/2004 ;;VEREADOR ANGELO BURBELLO;2.533;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;1;2;;93.449;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";2.872,07;327,90;0;0,00;60,00;0,00;;;CRISTIANE DA COSTA E SILVA;PR0000028074D;CRISTIANE DA COSTA E SILVA;PR0000028074D;CRISTIANE DA COSTA E SILVA;;;
87.513.028;71.6.0024.0254; 01/03/2004 ; 01/05/2004 ; 30/06/2005 ;TEREZINHA OLOSZ SAMILA;92;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;1;;33.785;HABITAÇÃO UNIFAMILIAR;******;MORADIA POPULAR;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";140,00;30,00;0;0,00;30,00;0,00;;;;;;;APROVADO PELO DECRETO 382-90;;;
87.526.022;71.6.0051.0028; 01/03/2004 ; 01/05/2004 ;;EMANOEL ERNESTO BERTOLDI;1.813;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;1;;33.795;HABITAÇÃO UNIFAMILIAR;******;MORADIA POPULAR;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";144,00;67,86;0;0,00;67,86;0,00;;;;;;;APROVADO PELO DECRETO 382-90;;;
87.534.054;71.7.0012.0184; 01/03/2004 ; 01/05/2004 ;;JOSÉ BERTOLDI;348;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;1;;33.789;HABITAÇÃO UNIFAMILIAR;******;MORADIA POPULAR;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";140,00;25,48;0;0,00;25,48;0,00;;;;;;;APROVADO PELO DECRETO 382-90;;;
87.556.019;71.7.0027.0096; 01/03/2004 ; 01/05/2004 ;;ANTONIO DAL LAGO;58;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;1;;33.791;HABITAÇÃO UNIFAMILIAR;******;MORADIA POPULAR;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";160,00;50,38;0;0,00;50,38;0,00;;;;;;;APROVADO PELO DECRETO 382-90;;;
